6.68,4.33,2.60,2.69,2.41
10.08,6.04,3.50,3.49,3.65
13.50,8.15,4.48,4.12,3.38
16.92,9.78,5.79,4.80,4.22
20.04,13.61,6.42,4.50,4.05
